"gene","cope"
"PRDM7",NA
"PRKACG",NA
"PROK1",NA
"PRR35",NA
"PRSS21",NA
"PSORS1C1",NA
"PTX4",NA
"RAB44",NA
"RBMXL2",NA
"RBPJL",NA
"RFPL3",NA
"SBK3",NA
"SCT",NA
"SERPINA3",NA
"SERPINE3",NA
"SLAMF9",NA
"SLC22A25",NA
"SLC25A47",NA
"SLC2A2",NA
"SLC2A7",NA
"SLC6A5",NA
"SMIM6",NA
"SPACA3",NA
"SPATA19",NA
"SPATC1",NA
"SPEM1",NA
"SPINK2",NA
"TAS2R50",NA
"TCF24",NA
"TCP11",NA
"TGM5",NA
"THEGL",NA
"TLX2",NA
"TMCO2",NA
"TMEM174",NA
"TMEM235",NA
"TMEM72",NA
"TMEM82",NA
"TMSB4Y",NA
"TNMD",NA
"TREH",NA
"TULP1",NA
"UBL4B",NA
"UCN3",NA
"ULBP3",NA
"UROC1",NA
"USP9Y",NA
"ZCCHC13",NA
"ZNF648",NA
"ZNF683",NA
"ZPBP",NA
"DDX3Y",NA
"NLGN4Y",NA
"ZFY",NA
"MCUB",NA
"TSPOAP1",NA
"MRE11",NA
"HPF1",NA
"SELENOO",NA
"CARMIL1",NA
"TBL1Y",NA
"WHRN",NA
"GRK3",NA
"PCNX1",NA
"PAK5",NA
"TWNK",NA
"STN1",NA
"NECTIN1",NA
"ERBIN",NA
"SELENOK",NA
"PTPA",NA
"SPATA1",NA
"MRM2",NA
"COQ8B",NA
"FNDC11",NA
"PCNX4",NA
"TMEM35A",NA
"SGO1",NA
"NECTIN2",NA
"AFDN",NA
"METTL26",NA
"SELENOS",NA
"RIDA",NA
"PATJ",NA
"LARGE1",NA
"BICDL1",NA
"PCNX2",NA
"CIDEB",NA
"THAP12",NA
"KNL1",NA
"KYAT3",NA
"SELENOI",NA
"ETFBKMT",NA
"ANP32D",NA
"EFL1",NA
"PGGHG",NA
"TIMM29",NA
"PRUNE1",NA
"LNPK",NA
"CNOT9",NA
"DCAF1",NA
"MIGA2",NA
"HIKESHI",NA
"KAT14",NA
"EEF1AKMT1",NA
"QTRT2",NA
"TMEM267",NA
"TOMM70",NA
"TMEM268",NA
"CARMIL2",NA
"MRNIP",NA
"SELENON",NA
"MAIP1",NA
"WDCP",NA
"COQ8A",NA
"NAXE",NA
"SGO2",NA
"NEPRO",NA
"BMT2",NA
"FMC1",NA
"INTS6L",NA
"SPACA9",NA
"BEX3",NA
"ATP23",NA
"TEPSIN",NA
"CENPX",NA
"GON7",NA
"ENSG00000170846",NA
"KYAT1",NA
"MRM3",NA
"MCRIP2",NA
"COPS9",NA
"GRK2",NA
"MFSD4B",NA
"MFSD4A",NA
"CENPS",NA
"NECTIN3",NA
"DHFR2",NA
"ERFE",NA
"RFLNA",NA
"SELENOW",NA
"MIGA1",NA
"SPACA6",NA
"SELENOF",NA
"UTP11",NA
"RFLNB",NA
"TCEAL9",NA
"CARMIL3",NA
"TMEM262",NA
"ENSG00000187186",NA
"ZNF724",NA
"FKBP1C",NA
"SELENOM",NA
"SELENOT",NA
"SPOUT1",NA
"STUM",NA
"DISP3",NA
"RACK1",NA
"SELENOH",NA
"NAXD",NA
"SEC14L6",NA
"NDUFAF8",NA
"MCRIP1",NA
"FNDC10",NA
"PROB1",NA
"AKAIN1",NA
"NPIPB2",NA
"SELENOP",NA
"ENSG00000267127",NA
"FDX2",NA
"RCC1L",NA
"ENSG00000275464",NA
"CCL3L3",NA
"ENSG00000280071",NA
"ENSG00000280433",NA
"MELTF",NA
"VEGFD",NA
"ARHGAP45",NA
"TICAM2",NA
"PMCH",NA
"PCNX3",NA
"ENSG00000258472",NA
"CCDC163",NA
"DEUP1",NA
"COX7B2",NA
"PPIAL4A",NA
"NLRP2B",NA
"CFAP206",NA
"ENSG00000275993",NA
"SAPCD1",NA
"ENSG00000283599",NA
"ACTL7B",NA
"ACTRT1",NA
"ADORA2A",NA
"ALPI",NA
"ANGPT4",NA
"ARL14EPL",NA
"ATOH1",NA
"ATP6V1G3",NA
"B3GNT3",NA
"BANF2",NA
"BARX1",NA
"C10orf62",NA
"C11orf86",NA
"C8B",NA
"CABS1",NA
"CALCA",NA
"CAPZA3",NA
"CCDC70",NA
"CCIN",NA
"CCKAR",NA
"CDCP2",NA
"CDRT15L2",NA
"CLDN34",NA
"CLEC18C",NA
"CRYBA2",NA
"CTRB1",NA
"CXCL11",NA
"CYP26C1",NA
"CYP4F12",NA
"DEFB108B",NA
"DEFB110",NA
"DEFB112",NA
"DEFB128",NA
"DEFB135",NA
"DEFB136",NA
"DEFB4A",NA
"DPRX",NA
"EFCAB9",NA
"EVX1",NA
"EVX2",NA
"FABP12",NA
"FAM187B",NA
"FAM83G",NA
"FANCD2OS",NA
"FATE1",NA
"FCN2",NA
"FERD3L",NA
"FGF19",NA
"FGF3",NA
"FOXA3",NA
"FOXD3",NA
"FSCB",NA
"GABRR2",NA
"GBX1",NA
"GDF7",NA
"GNAT3",NA
"GPHB5",NA
"GPR141",NA
"GPR142",NA
"GPR148",NA
"GPR152",NA
"GSC",NA
"GSTA1",NA
"GUCA2A",NA
"HAO2",NA
"HOXA1",NA
"HOXA2",NA
"HOXB5",NA
"HS3ST6",NA
"HSD17B2",NA
"IL3",NA
"IL36G",NA
"IL37",NA
"INS",NA
"INSL4",NA
"ISL2",NA
"ITLN2",NA
"IZUMO1R",NA
"KLK1",NA
"KLK4",NA
"KRTAP10-10",NA
"KRTAP16-1",NA
"KRTAP17-1",NA
"KRTAP19-8",NA
"KRTAP21-2",NA
"KRTAP29-1",NA
"KRTAP3-2",NA
"KRTAP7-1",NA
"LALBA",NA
"LBX1",NA
"LCN10",NA
"LCN15",NA
"LCN9",NA
"LDHAL6B",NA
"LIPM",NA
"LMAN1L",NA
"LPAR3",NA
"LRRC14B",NA
"LRRC52",NA
"MOGAT2",NA
"MUC7",NA
"MYOD1",NA
"NR0B2",NA
"NTF4",NA
"NTN3",NA
"NUTM2A",NA
"OOEP",NA
"OR10Q1",NA
"OR10W1",NA
"OR12D2",NA
"OR13C3",NA
"OR13C5",NA
"OR13C9",NA
"OR14I1",NA
"OR1A2",NA
"OR1E1",NA
"OR2A12",NA
"OR2AG1",NA
"OR2AK2",NA
"OR2C1",NA
"OR2J2",NA
"OR2K2",NA
"OR2L3",NA
"OR2M3",NA
"OR2M5",NA
"OR2T33",NA
"OR4D10",NA
"OR51A4",NA
"OR52M1",NA
"OR56A4",NA
"OR5AN1",NA
"OR5B12",NA
"OR5B2",NA
"OR6C70",NA
"OR8G5",NA
"ORM1",NA
"P2RX2",NA
"PDILT",NA
"PHOX2A",NA
"PLA2G12B",NA
"PLA2G2C",NA
"PLAC1",NA
"PRB3",NA
"PRDM13",NA
"PRPS1L1",NA
"PRSS41",NA
"PSMB11",NA
"REN",NA
"RIPPLY1",NA
"RNASE13",NA
"RNF148",NA
"RNF224",NA
"SAA4",NA
"SCGB3A2",NA
"SEMG1",NA
"SERPINA5",NA
"SLC22A11",NA
"SLC22A24",NA
"SLC22A8",NA
"SLC25A52",NA
"SMIM9",NA
"SPACA4",NA
"SPATA8",NA
"TAAR8",NA
"TARM1",NA
"TAS2R1",NA
"TAS2R8",NA
"TBX4",NA
"TFF1",NA
"TGM6",NA
"TLX3",NA
"TMEM210",NA
"TMEM89",NA
"OR7A17",NA
"TAS2R9",NA
"OR10D3",NA
"OR2A5",NA
"KLF14",NA
"IGHG1",NA
"USP17L3",NA
"OR2AE1",NA
"GALNT4",NA
"OR9K2",NA
"TEX33",NA
"RXFP4",NA
"RAB7B",NA
"PPY",NA
"MS4A4E",NA
"SPATA32",NA
"OR8A1",NA
"IL9R",NA
"SNX15",NA
"GPR45",NA
"CCL24",NA
"OR2AG2",NA
"USP17L15",NA
"MEF2B",NA
"TRIML2",NA
"RSPH10B2",NA
"FRG2C",NA
"OR9A4",NA
"AVPR1B",NA
"FOXI3",NA
"MSLNL",NA
"ZAR1L",NA
"RNF223",NA
"GRXCR2",NA
"OR52A1",NA
"C4B",NA
"TAS2R16",NA
"TM4SF19",NA
"UGT3A2",NA
"NLRP10",NA
